"BehaviorSpace results (NetLogo 7.0.3)","Stats version 2.0"
"Granovetter's_threshold_model_of_collective_behaviour.nlogo"
"diversity-effect"
"05/25/2026 20:16:38:741 +0900"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-16","16","-16","16"
"network","threshold-distribution","number-of-agents","mean-threshold","sd-threshold","[step]","(mean) final-proportion","(std) final-proportion","(mean) ticks","(std) ticks"
"fully connected","normal","100","25","1","0","0","0","0","0"
"fully connected","normal","100","25","2","0","0","0","0","0"
"fully connected","normal","100","25","3","0","0","0","0","0"
"fully connected","normal","100","25","4","0","0","0","0","0"
"fully connected","normal","100","25","5","0","0","0","0","0"
"fully connected","normal","100","25","6","0","0","0","0","0"
"fully connected","normal","100","25","7","0","0","0","0","0"
"fully connected","normal","100","25","8","0","0","0","0","0"
"fully connected","normal","100","25","8","1","1","N/A","1","N/A"
"fully connected","normal","100","25","9","0","0","0","0","0"
"fully connected","normal","100","25","9","1","1.4285714285714286","0.7284313590846835","1","0"
"fully connected","normal","100","25","10","0","0","0","0","0"
"fully connected","normal","100","25","10","1","1.875","0.7806247497997998","1","0"
"fully connected","normal","100","25","10","2","6","N/A","2","N/A"
"fully connected","normal","100","25","10","3","11","N/A","3","N/A"
"fully connected","normal","100","25","10","4","27","N/A","4","N/A"
"fully connected","normal","100","25","10","5","98","N/A","5","N/A"
"fully connected","normal","100","25","10","6","100","N/A","6","N/A"
"fully connected","normal","100","25","11","0","0","0","0","0"
"fully connected","normal","100","25","11","1","2.7333333333333334","1.730767331432956","1","0"
"fully connected","normal","100","25","11","2","5.5","2.5","2","0"
"fully connected","normal","100","25","11","3","10.75","4.02336923485777","3","0"
"fully connected","normal","100","25","11","4","43","23.84673283002656","4","0"
"fully connected","normal","100","25","11","5","70.66666666666667","40.778534658431376","5","0"
"fully connected","normal","100","25","11","6","66.5","N/A","6","N/A"
"fully connected","normal","100","25","11","7","96","N/A","7","N/A"
"fully connected","normal","100","25","11","8","100","N/A","8","N/A"
"fully connected","normal","100","25","12","0","0","0","0","0"
"fully connected","normal","100","25","12","1","2.823529411764706","1.2941176470588234","1","0"
"fully connected","normal","100","25","12","2","5.666666666666667","2.8674417556808756","2","0"
"fully connected","normal","100","25","12","3","9.666666666666666","5.21749194749951","3","0"
"fully connected","normal","100","25","12","4","43","34.36568055487916","4","0"
"fully connected","normal","100","25","12","5","56.25","43.785699720342485","5","0"
"fully connected","normal","100","25","12","6","20.5","N/A","6","N/A"
"fully connected","normal","100","25","12","7","83.5","N/A","7","N/A"
"fully connected","normal","100","25","12","8","100","N/A","8","N/A"
"fully connected","normal","100","25","13","0","0","0","0","0"
"fully connected","normal","100","25","13","1","5.2","4.057092555020159","1","0"
"fully connected","normal","100","25","13","2","24","22.25234070084913","2","0"
"fully connected","normal","100","25","13","3","57.27272727272727","37.719276260990114","3","0"
"fully connected","normal","100","25","13","4","78.5","32.45766473423496","4","0"
"fully connected","normal","100","25","13","5","80.33333333333333","27.108834148463284","5","0"
"fully connected","normal","100","25","13","6","99","N/A","6","N/A"
"fully connected","normal","100","25","13","7","100","N/A","7","N/A"
"fully connected","normal","100","25","14","0","0","0","0","0"
"fully connected","normal","100","25","14","1","7.5","5.886425061104575","1","0"
"fully connected","normal","100","25","14","2","23.833333333333332","24.951619853895927","2","0"
"fully connected","normal","100","25","14","3","57.46666666666667","38.67792939419356","3","0"
"fully connected","normal","100","25","14","4","81.1","30.10797236613585","4","0"
"fully connected","normal","100","25","14","5","100","0","5","0"
"fully connected","normal","100","25","15","0","0","0","0","0"
"fully connected","normal","100","25","15","1","8.210526315789474","4.187436690719176","1","0"
"fully connected","normal","100","25","15","2","33.1764705882353","22.935293363305814","2","0"
"fully connected","normal","100","25","15","3","72.375","34.68586707868206","3","0"
"fully connected","normal","100","25","15","4","84.36363636363636","25.538821526426737","4","0"
"fully connected","normal","100","25","15","5","94","11.50651989091402","5","0"
"fully connected","normal","100","25","15","6","100","N/A","6","N/A"
"fully connected","normal","100","25","16","0","0","0","0","0"
"fully connected","normal","100","25","16","1","11.1","5.906775770248943","1","0"
"fully connected","normal","100","25","16","2","40.94444444444444","27.267139812973543","2","0"
"fully connected","normal","100","25","16","3","81.83333333333333","22.716244799213133","3","0"
"fully connected","normal","100","25","16","4","92.41666666666667","24.851084259824336","4","0"
"fully connected","normal","100","25","16","5","64","N/A","5","N/A"
"fully connected","normal","100","25","16","6","91","N/A","6","N/A"
"fully connected","normal","100","25","16","7","100","N/A","7","N/A"
"fully connected","normal","100","25","17","0","0","0","0","0"
"fully connected","normal","100","25","17","1","18.05","8.766270586743259","1","0"
"fully connected","normal","100","25","17","2","59.85","29.017710109517605","2","0"
"fully connected","normal","100","25","17","3","90.75","18.576530892499814","3","0"
"fully connected","normal","100","25","17","4","98.625","3.276335605520289","4","0"
"fully connected","normal","100","25","17","5","100","N/A","5","N/A"
"fully connected","normal","100","25","18","0","0","0","0","0"
"fully connected","normal","100","25","18","1","16.15","6.725139403759598","1","0"
"fully connected","normal","100","25","18","2","58.15","24.499540812023394","2","0"
"fully connected","normal","100","25","18","3","89.7","20.98118204487059","3","0"
"fully connected","normal","100","25","18","4","90.875","23.766770394818057","4","0"
"fully connected","normal","100","25","18","5","85","N/A","5","N/A"
"fully connected","normal","100","25","18","6","100","N/A","6","N/A"
"fully connected","normal","100","25","19","0","0","0","0","0"
"fully connected","normal","100","25","19","1","19.15","8.753713497710558","1","0"
"fully connected","normal","100","25","19","2","63","24.831431694527804","2","0"
"fully connected","normal","100","25","19","3","94.5","11.276080879454527","3","0"
"fully connected","normal","100","25","19","4","99.57142857142857","1.049781318335648","4","0"
"fully connected","normal","100","25","19","5","100","N/A","5","N/A"
"fully connected","normal","100","25","20","0","0","0","0","0"
"fully connected","normal","100","25","20","1","25","8.35463942968217","1","0"
"fully connected","normal","100","25","20","2","77.85","17.327074190410798","2","0"
"fully connected","normal","100","25","20","3","98.9","2.9983328701129897","3","0"
"fully connected","normal","100","25","20","4","100","0","4","0"
"fully connected","normal","100","25","21","0","0","0","0","0"
"fully connected","normal","100","25","21","1","24.75","8.1967981553775","1","0"
"fully connected","normal","100","25","21","2","72.8","16.723038001511565","2","0"
"fully connected","normal","100","25","21","3","98.35","4.2340878592679205","3","0"
"fully connected","normal","100","25","21","4","100","0","4","0"
"fully connected","normal","100","25","22","0","0","0","0","0"
