"BehaviorSpace results (NetLogo 7.0.3)","Table version 2.0"
"Granovetter's_threshold_model_of_collective_behaviour.nlogo"
"diversity-effect"
"05/25/2026 20:16:35:455 +0900"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-16","16","-16","16"
"[run number]","network","threshold-distribution","number-of-agents","mean-threshold","sd-threshold","[step]","final-proportion","ticks"
"2","fully connected","normal","100","25","1","0","0","0"
"4","fully connected","normal","100","25","1","0","0","0"
"7","fully connected","normal","100","25","1","0","0","0"
"5","fully connected","normal","100","25","1","0","0","0"
"6","fully connected","normal","100","25","1","0","0","0"
"3","fully connected","normal","100","25","1","0","0","0"
"9","fully connected","normal","100","25","1","0","0","0"
"10","fully connected","normal","100","25","1","0","0","0"
"8","fully connected","normal","100","25","1","0","0","0"
"11","fully connected","normal","100","25","1","0","0","0"
"12","fully connected","normal","100","25","1","0","0","0"
"13","fully connected","normal","100","25","1","0","0","0"
"16","fully connected","normal","100","25","1","0","0","0"
"14","fully connected","normal","100","25","1","0","0","0"
"15","fully connected","normal","100","25","1","0","0","0"
"17","fully connected","normal","100","25","1","0","0","0"
"20","fully connected","normal","100","25","1","0","0","0"
"19","fully connected","normal","100","25","1","0","0","0"
"23","fully connected","normal","100","25","2","0","0","0"
"18","fully connected","normal","100","25","1","0","0","0"
"22","fully connected","normal","100","25","2","0","0","0"
"21","fully connected","normal","100","25","2","0","0","0"
"27","fully connected","normal","100","25","2","0","0","0"
"24","fully connected","normal","100","25","2","0","0","0"
"26","fully connected","normal","100","25","2","0","0","0"
"29","fully connected","normal","100","25","2","0","0","0"
"25","fully connected","normal","100","25","2","0","0","0"
"28","fully connected","normal","100","25","2","0","0","0"
"31","fully connected","normal","100","25","2","0","0","0"
"30","fully connected","normal","100","25","2","0","0","0"
"32","fully connected","normal","100","25","2","0","0","0"
"33","fully connected","normal","100","25","2","0","0","0"
"34","fully connected","normal","100","25","2","0","0","0"
"35","fully connected","normal","100","25","2","0","0","0"
"36","fully connected","normal","100","25","2","0","0","0"
"39","fully connected","normal","100","25","2","0","0","0"
"38","fully connected","normal","100","25","2","0","0","0"
"37","fully connected","normal","100","25","2","0","0","0"
"41","fully connected","normal","100","25","3","0","0","0"
"40","fully connected","normal","100","25","2","0","0","0"
"43","fully connected","normal","100","25","3","0","0","0"
"42","fully connected","normal","100","25","3","0","0","0"
"1","fully connected","normal","100","25","1","0","0","0"
"46","fully connected","normal","100","25","3","0","0","0"
"45","fully connected","normal","100","25","3","0","0","0"
"44","fully connected","normal","100","25","3","0","0","0"
"47","fully connected","normal","100","25","3","0","0","0"
"49","fully connected","normal","100","25","3","0","0","0"
"48","fully connected","normal","100","25","3","0","0","0"
"50","fully connected","normal","100","25","3","0","0","0"
"51","fully connected","normal","100","25","3","0","0","0"
"52","fully connected","normal","100","25","3","0","0","0"
"54","fully connected","normal","100","25","3","0","0","0"
"55","fully connected","normal","100","25","3","0","0","0"
"56","fully connected","normal","100","25","3","0","0","0"
"59","fully connected","normal","100","25","3","0","0","0"
"57","fully connected","normal","100","25","3","0","0","0"
"60","fully connected","normal","100","25","3","0","0","0"
"58","fully connected","normal","100","25","3","0","0","0"
"61","fully connected","normal","100","25","4","0","0","0"
"62","fully connected","normal","100","25","4","0","0","0"
"63","fully connected","normal","100","25","4","0","0","0"
"64","fully connected","normal","100","25","4","0","0","0"
"65","fully connected","normal","100","25","4","0","0","0"
"66","fully connected","normal","100","25","4","0","0","0"
"67","fully connected","normal","100","25","4","0","0","0"
"68","fully connected","normal","100","25","4","0","0","0"
"53","fully connected","normal","100","25","3","0","0","0"
"69","fully connected","normal","100","25","4","0","0","0"
"71","fully connected","normal","100","25","4","0","0","0"
"70","fully connected","normal","100","25","4","0","0","0"
"72","fully connected","normal","100","25","4","0","0","0"
"73","fully connected","normal","100","25","4","0","0","0"
"75","fully connected","normal","100","25","4","0","0","0"
"74","fully connected","normal","100","25","4","0","0","0"
"77","fully connected","normal","100","25","4","0","0","0"
"78","fully connected","normal","100","25","4","0","0","0"
"80","fully connected","normal","100","25","4","0","0","0"
"79","fully connected","normal","100","25","4","0","0","0"
"82","fully connected","normal","100","25","5","0","0","0"
"83","fully connected","normal","100","25","5","0","0","0"
"81","fully connected","normal","100","25","5","0","0","0"
"85","fully connected","normal","100","25","5","0","0","0"
"84","fully connected","normal","100","25","5","0","0","0"
"86","fully connected","normal","100","25","5","0","0","0"
"87","fully connected","normal","100","25","5","0","0","0"
