"BehaviorSpace results (NetLogo 7.0.3)","Stats version 2.0"
"Granovetter's_threshold_model_of_collective_behaviour.nlogo"
"mean-effect"
"05/25/2026 19:52:51:357 +0900"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-16","16","-16","16"
"network","threshold-distribution","number-of-agents","sd-threshold","mean-threshold","[step]","(mean) final-proportion","(std) final-proportion","(mean) ticks","(std) ticks"
"fully connected","normal","100","20","1","0","0","0","0","0"
"fully connected","normal","100","20","1","1","85.93333333333334","3.5396170539888767","1","0"
"fully connected","normal","100","20","1","2","100","0","2","0"
"fully connected","normal","100","20","2","0","0","0","0","0"
"fully connected","normal","100","20","2","1","86.43333333333334","4.022298955683043","1","0"
"fully connected","normal","100","20","2","2","100","0","2","0"
"fully connected","normal","100","20","3","0","0","0","0","0"
"fully connected","normal","100","20","3","1","83.43333333333334","6.205821639575394","1","0"
"fully connected","normal","100","20","3","2","100","0","2","0"
"fully connected","normal","100","20","4","0","0","0","0","0"
"fully connected","normal","100","20","4","1","84.96666666666667","6.1399420916559855","1","0"
"fully connected","normal","100","20","4","2","100","0","2","0"
"fully connected","normal","100","20","5","0","0","0","0","0"
"fully connected","normal","100","20","5","1","81.56666666666666","7.06957487327837","1","0"
"fully connected","normal","100","20","5","2","100","0","2","0"
"fully connected","normal","100","20","6","0","0","0","0","0"
"fully connected","normal","100","20","6","1","79.86666666666666","7.762015774841538","1","0"
"fully connected","normal","100","20","6","2","100","0","2","0"
"fully connected","normal","100","20","7","0","0","0","0","0"
"fully connected","normal","100","20","7","1","78.73333333333333","5.163547445528338","1","0"
"fully connected","normal","100","20","7","2","100","0","2","0"
"fully connected","normal","100","20","8","0","0","0","0","0"
"fully connected","normal","100","20","8","1","76.8","6.139489663916158","1","0"
"fully connected","normal","100","20","8","2","100","0","2","0"
"fully connected","normal","100","20","9","0","0","0","0","0"
"fully connected","normal","100","20","9","1","73.76666666666667","7.008011288676854","1","0"
"fully connected","normal","100","20","9","2","99.96666666666667","0.17950549357115012","2","0"
"fully connected","normal","100","20","9","3","100","N/A","3","N/A"
"fully connected","normal","100","20","10","0","0","0","0","0"
"fully connected","normal","100","20","10","1","71.53333333333333","7.990549974118734","1","0"
"fully connected","normal","100","20","10","2","100","0","2","0"
"fully connected","normal","100","20","11","0","0","0","0","0"
"fully connected","normal","100","20","11","1","69.83333333333333","6.638691303428879","1","0"
"fully connected","normal","100","20","11","2","99.93333333333334","0.24944382578492943","2","0"
"fully connected","normal","100","20","11","3","100","N/A","3","N/A"
"fully connected","normal","100","20","12","0","0","0","0","0"
"fully connected","normal","100","20","12","1","69.16666666666667","5.520165053893065","1","0"
"fully connected","normal","100","20","12","2","100","0","2","0"
"fully connected","normal","100","20","13","0","0","0","0","0"
"fully connected","normal","100","20","13","1","66.9","10.325857510799448","1","0"
"fully connected","normal","100","20","13","2","99.73333333333333","0.5120763831912406","2","0"
"fully connected","normal","100","20","13","3","100","0","3","0"
"fully connected","normal","100","20","14","0","0","0","0","0"
"fully connected","normal","100","20","14","1","60.1","11.694300606135737","1","0"
"fully connected","normal","100","20","14","2","99.46666666666667","1.687865186822955","2","0"
"fully connected","normal","100","20","14","3","100","0","3","0"
"fully connected","normal","100","20","15","0","0","0","0","0"
