"BehaviorSpace results (NetLogo 7.0.3)","Table version 2.0"
"Granovetter's_threshold_model_of_collective_behaviour.nlogo"
"mean-effect"
"05/25/2026 19:52:47:781 +0900"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-16","16","-16","16"
"[run number]","network","threshold-distribution","number-of-agents","sd-threshold","mean-threshold","[step]","final-proportion","ticks"
"3","fully connected","normal","100","20","1","0","0","0"
"7","fully connected","normal","100","20","1","0","0","0"
"6","fully connected","normal","100","20","1","0","0","0"
"5","fully connected","normal","100","20","1","0","0","0"
"2","fully connected","normal","100","20","1","0","0","0"
"4","fully connected","normal","100","20","1","0","0","0"
"3","fully connected","normal","100","20","1","1","84","1"
"6","fully connected","normal","100","20","1","1","89","1"
"7","fully connected","normal","100","20","1","1","84","1"
"5","fully connected","normal","100","20","1","1","87","1"
"7","fully connected","normal","100","20","1","2","100","2"
"3","fully connected","normal","100","20","1","2","100","2"
"6","fully connected","normal","100","20","1","2","100","2"
"2","fully connected","normal","100","20","1","1","84","1"
"4","fully connected","normal","100","20","1","1","89","1"
"5","fully connected","normal","100","20","1","2","100","2"
"2","fully connected","normal","100","20","1","2","100","2"
"4","fully connected","normal","100","20","1","2","100","2"
"9","fully connected","normal","100","20","1","0","0","0"
"10","fully connected","normal","100","20","1","0","0","0"
"8","fully connected","normal","100","20","1","0","0","0"
"10","fully connected","normal","100","20","1","1","87","1"
"9","fully connected","normal","100","20","1","1","88","1"
"10","fully connected","normal","100","20","1","2","100","2"
"9","fully connected","normal","100","20","1","2","100","2"
"8","fully connected","normal","100","20","1","1","82","1"
"8","fully connected","normal","100","20","1","2","100","2"
"11","fully connected","normal","100","20","1","0","0","0"
"13","fully connected","normal","100","20","1","0","0","0"
"12","fully connected","normal","100","20","1","0","0","0"
"11","fully connected","normal","100","20","1","1","88","1"
"13","fully connected","normal","100","20","1","1","86","1"
"12","fully connected","normal","100","20","1","1","83","1"
"13","fully connected","normal","100","20","1","2","100","2"
"11","fully connected","normal","100","20","1","2","100","2"
"12","fully connected","normal","100","20","1","2","100","2"
"14","fully connected","normal","100","20","1","0","0","0"
"14","fully connected","normal","100","20","1","1","87","1"
"14","fully connected","normal","100","20","1","2","100","2"
"15","fully connected","normal","100","20","1","0","0","0"
"16","fully connected","normal","100","20","1","0","0","0"
"15","fully connected","normal","100","20","1","1","83","1"
"16","fully connected","normal","100","20","1","1","86","1"
"15","fully connected","normal","100","20","1","2","100","2"
"18","fully connected","normal","100","20","1","0","0","0"
"17","fully connected","normal","100","20","1","0","0","0"
"19","fully connected","normal","100","20","1","0","0","0"
"17","fully connected","normal","100","20","1","1","90","1"
"19","fully connected","normal","100","20","1","1","89","1"
"18","fully connected","normal","100","20","1","1","84","1"
"17","fully connected","normal","100","20","1","2","100","2"
"19","fully connected","normal","100","20","1","2","100","2"
"18","fully connected","normal","100","20","1","2","100","2"
"20","fully connected","normal","100","20","1","0","0","0"
"20","fully connected","normal","100","20","1","1","90","1"
"21","fully connected","normal","100","20","1","0","0","0"
"20","fully connected","normal","100","20","1","2","100","2"
"21","fully connected","normal","100","20","1","1","94","1"
"22","fully connected","normal","100","20","1","0","0","0"
